,Un truc à dire ?,Vos applis préférées
24/01/2014 11:02:21,,WhiskeyMemory : retrouver les paires de bouteilles
24/01/2014 11:02:31,,WhiskeyMemory : retrouver les paires de bouteilles
24/01/2014 11:09:11,,BlueChat : chat via bluetooth
24/01/2014 11:10:17,Très bon appli!!,WhiskeyMemory : retrouver les paires de bouteilles
24/01/2014 11:11:29,"Il y a très belle femme, donc je vote pour ça!",WhiskeyMemory : retrouver les paires de bouteilles
24/01/2014 11:14:30,Pas mal de bonnes idées ,andRAKoid : consultation des menus du Rak
24/01/2014 11:14:31,,andRAKoid : consultation des menus du Rak
24/01/2014 11:22:42,"L'appli était simple, mais il a eu une bonne ideé et il a fait bien",WhiskeyMemory : retrouver les paires de bouteilles
24/01/2014 11:32:17,,andRAKoid : consultation des menus du Rak
24/01/2014 11:32:44,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 11:32:53,J'aime beaucoup ce jeu ! ,WhiskeyMemory : retrouver les paires de bouteilles
24/01/2014 11:33:43,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 11:33:57,,WhiskeyMemory : retrouver les paires de bouteilles
24/01/2014 11:34:27,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 11:35:29,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 11:35:36,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 11:35:38,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 11:35:40,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 11:35:57,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 11:36:27,,WhiskeyMemory : retrouver les paires de bouteilles
24/01/2014 11:37:06,Super,Catch the ball : jeu d'adresse qui comme son nom l'indique...
24/01/2014 11:37:19,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 11:37:46,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 11:39:09,,Catch the ball : jeu d'adresse qui comme son nom l'indique...
24/01/2014 11:39:34,,BlueChat : chat via bluetooth
24/01/2014 11:44:38,bien,PhenomaTest : minis quizz
24/01/2014 11:45:56,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 11:46:32,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 11:47:08,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 11:47:34,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 11:53:46,,CampEvent : affiche et personnalise les notifications des événements du campus
24/01/2014 11:55:58,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 11:57:14,,Playlisteric :  une playlist collaborative pour une musique démocratique
24/01/2014 12:02:15,,CampEvent : affiche et personnalise les notifications des événements du campus
24/01/2014 12:03:35,,Catch the ball : jeu d'adresse qui comme son nom l'indique...
24/01/2014 12:03:54,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 12:04:09,,CampEvent : affiche et personnalise les notifications des événements du campus
24/01/2014 12:04:24,,Catch the ball : jeu d'adresse qui comme son nom l'indique...
24/01/2014 12:05:08,,CampEvent : affiche et personnalise les notifications des événements du campus
24/01/2014 12:13:13,Très bien Appli ! ,WhiskeyMemory : retrouver les paires de bouteilles
24/01/2014 12:13:49,,WhiskeyMemory : retrouver les paires de bouteilles
24/01/2014 12:15:20,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 12:15:36,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 12:15:57,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 12:16:16,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 12:16:34,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 12:16:50,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 12:17:51,,CampEvent : affiche et personnalise les notifications des événements du campus
24/01/2014 12:23:13,,"BlueChat : chat via bluetooth, andRAKoid : consultation des menus du Rak, WhiskeyMemory : retrouver les paires de bouteilles"
24/01/2014 12:24:13,C'est tres bonne.J'aime beacoup cette application,WhiskeyMemory : retrouver les paires de bouteilles
24/01/2014 12:24:34,Ces applications sont très bien,"BlueChat : chat via bluetooth, andRAKoid : consultation des menus du Rak, WhiskeyMemory : retrouver les paires de bouteilles"
24/01/2014 12:25:55,,CampEvent : affiche et personnalise les notifications des événements du campus
24/01/2014 12:26:06,"J'aime beaucoup , c'est intéressent  ",WhiskeyMemory : retrouver les paires de bouteilles
24/01/2014 12:32:46,,"BlueChat : chat via bluetooth, CampEvent : affiche et personnalise les notifications des événements du campus, PhenomaTest : minis quizz"
24/01/2014 12:40:17,,"Catch the ball : jeu d'adresse qui comme son nom l'indique..., OuchTrap : faire rouler une bille pour découvrir des pièges"
24/01/2014 12:41:19,,"BlueChat : chat via bluetooth, Catch the ball : jeu d'adresse qui comme son nom l'indique..., OuchTrap : faire rouler une bille pour découvrir des pièges"
24/01/2014 12:43:06,,"BlueChat : chat via bluetooth, Catch the ball : jeu d'adresse qui comme son nom l'indique..., CampEvent : affiche et personnalise les notifications des événements du campus, OuchTrap : faire rouler une bille pour découvrir des pièges"
24/01/2014 12:49:55,,BlueChat : chat via bluetooth
24/01/2014 12:52:53,,BlueChat : chat via bluetooth
24/01/2014 12:56:04,,CampEvent : affiche et personnalise les notifications des événements du campus
24/01/2014 12:56:48,,Catch the ball : jeu d'adresse qui comme son nom l'indique...
24/01/2014 13:02:18,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 13:02:22,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 13:02:27,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 13:02:50,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 13:03:08,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 13:04:05,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 13:04:17,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 13:04:35,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 13:05:02,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 13:05:23,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 13:05:48,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 13:06:01,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 13:06:39,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 13:07:42,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 13:10:04,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 13:11:14,,What's happening : géolocalisation de photos
24/01/2014 13:11:58,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 13:13:13,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 13:16:47,C'est tres bonne.J'aime beacoup cette application,"WhiskeyMemory : retrouver les paires de bouteilles, OuchTrap : faire rouler une bille pour découvrir des pièges"
24/01/2014 13:16:58,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 13:19:26,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 13:24:29,,DirtyHockey : hockey sur table miné
24/01/2014 13:29:24,,Catch the ball : jeu d'adresse qui comme son nom l'indique...
24/01/2014 13:36:19,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 13:36:20,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 13:36:28,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 13:36:32,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 13:36:34,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 13:36:35,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 13:36:38,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 13:36:42,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 13:36:46,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 13:36:49,,OuchTrap : faire rouler une bille pour découvrir des pièges
24/01/2014 13:43:10,,DirtyHockey : hockey sur table miné
24/01/2014 13:50:17,,DirtyHockey : hockey sur table miné
24/01/2014 14:52:49,,"Playlisteric :  une playlist collaborative pour une musique démocratique, andRAKoid : consultation des menus du Rak, MyFirstRPG : un jeu d'aventures évolutif mais déjà évolué"
24/01/2014 14:58:14,,CampEvent : affiche et personnalise les notifications des événements du campus
